1.08473e-05;5.24853e-06;1.31237e-05;8.45269e-07;5.39322e-06;3.4155e-05;1.29808e-05;1.32636e-05;3.09304e-05;1.16869e-06;
8.31359e-07;7.32979e-06;3.82561e-05;3.7817e-06;6.59085e-06;5.51252e-06;4.58537e-06;8.03034e-06;1.33273e-06;2.31602e-06;
7.60451e-06;4.21698e-05;2.17328e-06;1.096e-05;6.28863e-06;3.36545e-06;1.57676e-06;7.41598e-06;1.37613e-05;2.04662e-05;
1.32736e-05;1.10221e-05;1.30353e-06;5.03898e-06;1.84022e-05;1.39148e-06;2.62882e-06;4.24866e-06;2.84757e-06;1.23243e-05;
2.26142e-06;3.53062e-05;7.30811e-06;3.25927e-06;7.51116e-06;2.81769e-06;1.32013e-06;8.85767e-06;4.62752e-05;6.0862e-06;
1.33856e-06;1.70156e-06;1.36303e-05;3.52601e-06;4.03007e-07;9.01527e-05;0.000113719;1.22216e-05;5.42662e-06;1.52177e-06;
1.32736e-05;1.10221e-05;1.30353e-06;5.03898e-06;1.84022e-05;1.39148e-06;2.62882e-06;4.24866e-06;2.84757e-06;1.23243e-05;
1.98194e-05;3.57404e-06;4.22684e-07;6.56263e-06;1.42958e-05;4.29122e-06;8.10711e-06;3.26225e-06;6.0535e-06;1.60509e-05;
1.11106e-05;5.37594e-06;1.34423e-05;8.65788e-07;5.52414e-06;6.73618e-05;4.96964e-06;1.35856e-05;2.78027e-05;4.47426e-07;
1.83598e-05;1.26097e-06;4.56286e-07;2.51114e-06;1.51449e-05;1.21628e-05;2.11872e-05;3.18662e-06;6.19716e-06;5.37044e-06;
5.61548e-06;4.00389e-06;1.15167e-06;1.78809e-05;3.127e-05;1.32104e-05;2.97546e-06;1.08843e-06;1.95172e-06;4.66912e-05;
2.27097e-05;8.88627e-07;2.22197e-06;4.99245e-06;7.93097e-06;6.55247e-05;2.71764e-05;2.24566e-06;6.47553e-05;6.90267e-06;
